Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium
2022,12/03/2022,England,0,Ireland,1,15,32,Twickenham Stadium
2022,19/03/2022,Wales,1,Italy,0,21,22,Millennium Stadium
2022,19/03/2022,Ireland,1,Scotland,0,26,5,Aviva Stadium
2022,19/03/2022,France,0,England,0,25,13,Stade de France
2023,04/02/2023,Wales,0,Ireland,1,10,34,Millennium Stadium
2023,04/02/2023,England,1,Scotland,1,23,29,Twickenham Stadium
2023,05/02/2023,Italy,1,France,1,24,29,Stadio Olimpico
2023,11/02/2023,Ireland,1,France,0,32,19,Aviva Stadium
2023,11/02/2023,Scotland,1,Wales,0,35,7,Murrayfield Stadium
2023,12/02/2023,England,1,Italy,0,31,14,Twickenham Stadium
2023,25/02/2023,Italy,0,Ireland,1,20,34,Stadio Olimpico
2023,25/02/2023,Wales,0,England,0,10,20,Millennium Stadium
2023,26/02/2023,France,1,Scotland,0,32,21,Stade de France
2023,11/03/2023,Italy,0,Wales,1,17,29,Stadio Olimpico
2023,11/03/2023,England,0,France,1,10,53,Twickenham Stadium
2023,12/03/2023,Scotland,0,Ireland,0,7,22,Murrayfield Stadium
2023,18/03/2023,Scotland,1,Italy,0,26,14,Murrayfield Stadium
2023,18/03/2023,France,1,Wales,1,41,28,Stade de France
2023,18/03/2023,Ireland,4,England,0,29,16,Aviva Stadium
2024,02/02/2024,France,0,Ireland,1,17,38,Stade Vélodrome
2024,03/02/2024,Italy,1,England,0,24,27,Stadio Olimpico
2024,03/02/2024,Wales,2,Scotland,0,26,27,Millennium Stadium
2024,10/02/2024,Scotland,1,France,0,16,20,Murrayfield Stadium
2024,10/02/2024,England,0,Wales,1,16,14,Twickenham Stadium
2024,11/02/2024,Ireland,1,Italy,0,36,0,Aviva Stadium
2024,24/02/2024,Ireland,1,Wales,0,31,7,Aviva Stadium
2024,24/02/2024,Scotland,0,England,0,30,21,Murrayfield Stadium
2024,25/02/2024,France,0,Italy,0,13,13,Stade Pierre-Mauroy
2024,09/03/2024,Italy,0,Scotland,2,31,29,Stadio Olimpico
2024,09/03/2024,England,0,Ireland,1,23,22,Twickenham Stadium
2024,10/03/2024,Wales,0,France,1,24,45,Millennium Stadium
2024,16/03/2024,Wales,1,Italy,0,21,24,Millennium Stadium
2024,16/03/2024,Ireland,0,Scotland,1,17,13,Aviva Stadium
2024,16/03/2024,France,0,England,2,33,31,Parc Olympique Lyonnais
